system,eos,step,pvi,component,mass_rate_kg_s,total_mass_fraction,hydrocarbon_normalized_mass_fraction,reservoir_watercut
lmh,PR,53,0.1325,H2O,6.31568161898881e-07,0.14057772436282606,0.0,0.0004328473516606937
lmh,PR,53,0.1325,Light_nC4,7.484540157189011e-08,0.01665947852780265,0.019384508640355343,0.0004328473516606937
lmh,PR,53,0.1325,Middle_nC10,4.588928741155795e-07,0.10214276124294805,0.11885049310272952,0.0004328473516606937
lmh,PR,53,0.1325,Heavy_squalane,3.327355289308775e-06,0.7406200358664232,0.8617649982569151,0.0004328473516606937
lmh,PR,54,0.135,H2O,6.315484501505169e-07,0.14057035038353913,0.0,0.0004338067028547897
lmh,PR,54,0.135,Light_nC4,7.484750127062128e-08,0.016659591954403613,0.01938447429855174,0.0004338067028547897
lmh,PR,54,0.135,Middle_nC10,4.589065574231657e-07,0.10214363688946394,0.11885049222475366,0.0004338067028547897
lmh,PR,54,0.135,Heavy_squalane,3.327454665249442e-06,0.7406264207725933,0.8617650334766946,0.0004338067028547897
lmh,PR,55,0.1375,H2O,6.315287508781572e-07,0.14056298051148022,0.0,0.00043476679317085815
lmh,PR,55,0.1375,Light_nC4,7.484960018050409e-08,0.01665970532115037,0.01938443998033169,0.00043476679317085815
lmh,PR,55,0.1375,Middle_nC10,4.589202353932706e-07,0.10214451204986197,0.11885049134915279,0.00043476679317085815
lmh,PR,55,0.1375,Heavy_squalane,3.327554002331772e-06,0.7406328021175075,0.8617650686705156,0.00043476679317085815
lmh,PR,56,0.14,H2O,6.315090624173327e-07,0.1405556146985281,0.0,0.0004357276266066606
lmh,PR,56,0.14,Light_nC4,7.485169813292872e-08,0.01665981862877809,0.01938440568546414,0.0004357276266066606
lmh,PR,56,0.14,Middle_nC10,4.589339069974646e-07,0.10214538672985368,0.11885049047591786,0.0004357276266066606
lmh,PR,56,0.14,Heavy_squalane,3.327653293099953e-06,0.7406391799428402,0.8617651038386179,0.0004357276266066606
lmh,PR,57,0.1425,H2O,6.314893856612541e-07,0.14054825289722422,0.0,0.00043668920715095604
lmh,PR,57,0.1425,Light_nC4,7.485379526202427e-08,0.01665993187801183,0.019384371413721242,0.00043668920715095604
lmh,PR,57,0.1425,Middle_nC10,4.589475730634046e-07,0.10214626093507186,0.11885048960503992,0.00043668920715095604
lmh,PR,57,0.1425,Heavy_squalane,3.327752543556333e-06,0.7406455542896921,0.8617651389812389,0.00043668920715095604
lmh,PR,58,0.145,H2O,6.314697214869647e-07,0.14054089505914663,0.0,0.000437651538995829
lmh,PR,58,0.145,Light_nC4,7.485589170061702e-08,0.01666004506959156,0.01938433716487078,0.000437651538995829
lmh,PR,58,0.145,Middle_nC10,4.589612344108693e-07,0.10214713467126373,0.11885048873650984,0.000437651538995829
lmh,PR,58,0.145,Heavy_squalane,3.327851759646157e-06,0.740651925199998,0.8617651740986193,0.000437651538995829
lmh,PR,59,0.1475,H2O,6.314500682577216e-07,0.1405335411383956,0.0,0.0004386146260753044
lmh,PR,59,0.1475,Light_nC4,7.48579872820413e-08,0.016660158204218553,0.019384302938692404,0.0004386146260753044
