case,step,pvi,cell,x_m,water_saturation,oil_saturation,gas_saturation
binary,40,1.0,22,0.45,0.5263569624557535,0.4736430375442465,0.0
binary,40,1.0,23,0.47,0.5202931924684289,0.47970680753157113,0.0
binary,40,1.0,24,0.49,0.5144718108614909,0.48552818913850926,0.0
binary,40,1.0,25,0.51,0.5088743883289379,0.49112561167106217,0.0
binary,40,1.0,26,0.5299999999999999,0.5034844668614237,0.4965155331385763,0.0
binary,40,1.0,27,0.55,0.498287290435907,0.501712709564093,0.0
binary,40,1.0,28,0.57,0.49326957995994725,0.5067304200400529,0.0
binary,40,1.0,29,0.59,0.48841934404113685,0.5115806559588633,0.0
binary,40,1.0,30,0.61,0.4837257189657204,0.5162742810342795,0.0
binary,40,1.0,31,0.63,0.4791788326516633,0.5208211673483367,0.0
binary,40,1.0,32,0.65,0.4747696884026141,0.5252303115973859,0.0
binary,40,1.0,33,0.6699999999999999,0.4704900651117129,0.5295099348882871,0.0
binary,40,1.0,34,0.69,0.4663324312066174,0.5336675687933826,0.0
binary,40,1.0,35,0.7100000000000001,0.46228987013257017,0.5377101298674298,0.0
binary,40,1.0,36,0.73,0.45835601557107764,0.5416439844289224,0.0
binary,40,1.0,37,0.75,0.45452499491113973,0.5454750050888604,0.0
binary,40,1.0,38,0.7699999999999999,0.4507913797465842,0.5492086202534159,0.0
binary,40,1.0,39,0.7899999999999999,0.44715014238002065,0.5528498576199794,0.0
binary,40,1.0,40,0.81,0.4435966174820867,0.5564033825179132,0.0
binary,40,1.0,41,0.83,0.44012646819180584,0.5598735318081943,0.0
binary,40,1.0,42,0.85,0.4367356560564386,0.5632643439435615,0.0
binary,40,1.0,43,0.8699999999999999,0.433420414301914,0.566579585698086,0.0
binary,40,1.0,44,0.89,0.43017722400171576,0.5698227759982842,0.0
binary,40,1.0,45,0.91,0.4270027927759349,0.5729972072240651,0.0
binary,40,1.0,46,0.9299999999999999,0.4238940357055058,0.5761059642944942,0.0
binary,40,1.0,47,0.95,0.42084805819124893,0.5791519418087512,0.0
binary,40,1.0,48,0.97,0.41786214052505477,0.5821378594749453,0.0
binary,40,1.0,49,0.99,0.41493372397212513,0.5850662760278749,0.0
binary,40,1.0,50,1.01,0.41206039819024776,0.5879396018097524,0.0
binary,40,1.0,51,1.03,0.4092398898347382,0.5907601101652619,0.0
binary,40,1.0,52,1.05,0.4064700522174272,0.5935299477825728,0.0
binary,40,1.0,53,1.07,0.40374885590449927,0.5962511440955007,0.0
binary,40,1.0,54,1.0899999999999999,0.4010743801524981,0.5989256198475019,0.0
binary,40,1.0,55,1.1099999999999999,0.39844480509400293,0.6015551949059971,0.0
binary,40,1.0,56,1.13,0.3958584045951663,0.6041415954048337,0.0
binary,40,1.0,57,1.15,0.39331353971646194,0.6066864602835381,0.0
binary,40,1.0,58,1.1700000000000002,0.390808652715967,0.609191347284033,0.0
binary,40,1.0,59,1.19,0.38834226154143114,0.6116577384585689,0.0
lmh,0,0.0,0,0.01,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,1,0.029999999999999995,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,2,0.05,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,3,0.07,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,4,0.09,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,5,0.11,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,6,0.13,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,7,0.15,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,8,0.16999999999999998,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,9,0.19,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,10,0.21,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,11,0.22999999999999998,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,12,0.25,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,13,0.26999999999999996,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,14,0.29,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,15,0.30999999999999994,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,16,0.33,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,17,0.35,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,18,0.37,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,19,0.38999999999999996,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,20,0.41,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,21,0.43,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,22,0.45,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,23,0.47,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,24,0.49,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,25,0.51,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,26,0.5299999999999999,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,27,0.55,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,28,0.57,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,29,0.59,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,30,0.61,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,31,0.63,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,32,0.65,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,33,0.6699999999999999,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,34,0.69,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,35,0.7100000000000001,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,36,0.73,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,37,0.75,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,38,0.7699999999999999,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,39,0.7899999999999999,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,40,0.81,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,41,0.83,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,42,0.85,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,43,0.8699999999999999,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,44,0.89,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,45,0.91,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,46,0.9299999999999999,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,47,0.95,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,48,0.97,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,49,0.99,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,50,1.01,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,51,1.03,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,52,1.05,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,53,1.07,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,54,1.0899999999999999,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,55,1.1099999999999999,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,56,1.13,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,57,1.15,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,58,1.1700000000000002,0.008693441584334466,0.9913065584156656,0.0
lmh,0,0.0,59,1.19,0.008693441584334466,0.9913065584156656,0.0
